model_key,block_template_id,pair_id,manipulation_type,anchor_task_index,intervention_gap_tv,randomness_envelope,excess_intervention_gap,anchor_modal_choice,twin_modal_choice
poe_deepseek_v32,DST0001,LABEL_1,label_mask,3,0.0,0.0,0.0,2,2
poe_deepseek_v32,DST0001,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0001,ORDER_1,order_randomization,5,0.25,0.0,0.25,2,2
poe_deepseek_v32,DST0001,ORDER_2,order_randomization,6,0.0,0.0,0.0,2,2
poe_deepseek_v32,DST0001,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0001,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0002,LABEL_1,label_mask,3,0.0,0.5,-0.625,2,2
poe_deepseek_v32,DST0002,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0002,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0002,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0002,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0002,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0003,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0003,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0003,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0003,ORDER_2,order_randomization,6,0.0,0.5,-0.625,2,2
poe_deepseek_v32,DST0003,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0003,PARA_2,paraphrase,2,0.0,0.5,-0.625,0,0
poe_deepseek_v32,DST0004,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0004,LABEL_2,label_mask,4,0.0,0.0,0.0,2,2
poe_deepseek_v32,DST0004,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0004,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0004,PARA_1,paraphrase,1,0.0,0.6666666666666666,-0.8333333333333333,1,1
poe_deepseek_v32,DST0004,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0005,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
poe_deepseek_v32,DST0005,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
