model_key,respondent_id,block_template_id,run_repeat,indicator_name,indicator_value,is_valid_indicator,duration_sec
poe_deepseek_v32,DS0001_R1,DST0001,1,Envir01,3,1,0.0
poe_deepseek_v32,DS0001_R1,DST0001,1,Envir02,4,1,0.0
poe_deepseek_v32,DS0001_R1,DST0001,1,Envir05,4,1,0.0
poe_deepseek_v32,DS0001_R1,DST0001,1,Envir06,4,1,0.0
poe_deepseek_v32,DS0001_R1,DST0001,1,Mobil10,4,1,0.0
poe_deepseek_v32,DS0001_R1,DST0001,1,Mobil11,3,1,0.0
poe_deepseek_v32,DS0001_R1,DST0001,1,Mobil16,3,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Envir01,3,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Envir02,4,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Envir05,4,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Envir06,4,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Mobil10,4,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Mobil11,3,1,0.0
poe_deepseek_v32,DS0001_R3,DST0001,3,Mobil16,4,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Envir01,3,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Envir02,4,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Envir05,4,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Envir06,4,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Mobil10,3,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Mobil11,3,1,0.0
poe_deepseek_v32,DS0001_R2,DST0001,2,Mobil16,4,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Envir01,3,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Envir02,4,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Envir05,4,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Envir06,4,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Mobil10,4,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Mobil11,4,1,0.0
poe_deepseek_v32,DS0001_R4,DST0001,4,Mobil16,4,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Envir01,2,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Envir02,4,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Envir05,4,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Envir06,4,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Mobil10,3,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Mobil11,4,1,0.0
poe_deepseek_v32,DS0002_R1,DST0002,1,Mobil16,4,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Envir01,2,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Envir02,3,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Envir05,4,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Envir06,4,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Mobil10,3,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Mobil11,4,1,0.0
poe_deepseek_v32,DS0002_R2,DST0002,2,Mobil16,4,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Envir01,2,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Envir02,3,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Envir05,3,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Envir06,4,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Mobil10,2,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Mobil11,4,1,0.0
poe_deepseek_v32,DS0002_R3,DST0002,3,Mobil16,4,1,0.0
poe_deepseek_v32,DS0002_R4,DST0002,4,Envir01,3,1,0.0
poe_deepseek_v32,DS0002_R4,DST0002,4,Envir02,4,1,0.0
poe_deepseek_v32,DS0002_R4,DST0002,4,Envir05,4,1,0.0
poe_deepseek_v32,DS0002_R4,DST0002,4,Envir06,4,1,0.0
poe_deepseek_v32,DS0002_R4,DST0002,4,Mobil10,3,1,0.0
poe_deepseek_v32,DS0002_R4,DST0002,4,Mobil11,4,1,0.0
