parameter_name,estimate
ASC_PT_C1,-4.780347119777239
ASC_CAR_C1,-5.279277525699884
B_COST_C1,-1.25145514244271
B_TIME_PT_C1,-0.3410723661301567
B_TIME_CAR_C1,-0.2769744656301027
B_WAIT_C1,-0.37977191992298454
B_DIST_C1,-3.1714636100306235
ASC_PT_C2,-1.7379851269446718
ASC_CAR_C2,6.557975139063331
B_COST_C2,-3.0819621423441976
B_TIME_PT_C2,-0.28550431636370055
B_TIME_CAR_C2,0.20486755073383775
B_WAIT_C2,0.24161075234256307
B_DIST_C2,-0.30153567999829883
ASC_PT_C3,-3.8349385439016976
ASC_CAR_C3,-3.0566651250911154
B_COST_C3,-0.660348060592346
B_TIME_PT_C3,-0.033638586557428234
B_TIME_CAR_C3,-0.13475018039066836
B_WAIT_C3,-0.6125161441507121
B_DIST_C3,-0.6666218962803869
LOG_SCALE_CLASS_2,-2.0
CLASS_INTERCEPT_C2,2.217563229288318
CLASS_model_is_deepseek_C2,0.0
CLASS_semantic_arm_C2,-1.0904552971675645
CLASS_prompt_family_naturalistic_C2,-0.5124510967891097
CLASS_age_30_less_C2,0.5799091798200272
CLASS_high_education_C2,-2.088968632659643
CLASS_ScaledIncome_C2,-0.07377583940617012
CLASS_CAR_AVAILABLE_C2,1.183350310255878
CLASS_block_complexity_mean_C2,-4.205959748569456
CLASS_INTERCEPT_C3,-1.7290147613362095
CLASS_model_is_deepseek_C3,0.0
CLASS_semantic_arm_C3,0.6341479530475579
CLASS_prompt_family_naturalistic_C3,-1.0377952634962997
CLASS_age_30_less_C3,-0.18289372247654634
CLASS_high_education_C3,1.0203070754898038
CLASS_ScaledIncome_C3,-0.13224135879077828
CLASS_CAR_AVAILABLE_C3,-0.3668412474082399
CLASS_block_complexity_mean_C3,2.4897277270794977
SCALE_INTERCEPT_S2,-0.07871230125221923
SCALE_model_is_deepseek_S2,0.0
SCALE_semantic_arm_S2,-1.3242694292218833
SCALE_prompt_family_naturalistic_S2,0.44876174377017525
SCALE_age_30_less_S2,-1.7341801669232386
SCALE_high_education_S2,0.20641592276573562
SCALE_ScaledIncome_S2,0.09957402521212176
SCALE_CAR_AVAILABLE_S2,-2.6741621512058336
SCALE_block_complexity_mean_S2,1.487975406330331
