model,block,parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
salcm,salcm,ASC_PT_C1,,-4.780347119777239,
salcm,salcm,ASC_CAR_C1,,-5.279277525699884,
salcm,salcm,B_COST_C1,,-1.25145514244271,
salcm,salcm,B_TIME_PT_C1,,-0.3410723661301567,
salcm,salcm,B_TIME_CAR_C1,,-0.2769744656301027,
salcm,salcm,B_WAIT_C1,,-0.37977191992298454,
salcm,salcm,B_DIST_C1,,-3.1714636100306235,
salcm,salcm,ASC_PT_C2,,-1.7379851269446718,
salcm,salcm,ASC_CAR_C2,,6.557975139063331,
salcm,salcm,B_COST_C2,,-3.0819621423441976,
salcm,salcm,B_TIME_PT_C2,,-0.28550431636370055,
salcm,salcm,B_TIME_CAR_C2,,0.20486755073383775,
salcm,salcm,B_WAIT_C2,,0.24161075234256307,
salcm,salcm,B_DIST_C2,,-0.30153567999829883,
salcm,salcm,ASC_PT_C3,,-3.8349385439016976,
salcm,salcm,ASC_CAR_C3,,-3.0566651250911154,
salcm,salcm,B_COST_C3,,-0.660348060592346,
salcm,salcm,B_TIME_PT_C3,,-0.033638586557428234,
salcm,salcm,B_TIME_CAR_C3,,-0.13475018039066836,
salcm,salcm,B_WAIT_C3,,-0.6125161441507121,
salcm,salcm,B_DIST_C3,,-0.6666218962803869,
salcm,salcm,LOG_SCALE_CLASS_2,,-2.0,
salcm,salcm,CLASS_INTERCEPT_C2,,2.217563229288318,
salcm,salcm,CLASS_model_is_deepseek_C2,,0.0,
salcm,salcm,CLASS_semantic_arm_C2,,-1.0904552971675645,
salcm,salcm,CLASS_prompt_family_naturalistic_C2,,-0.5124510967891097,
salcm,salcm,CLASS_age_30_less_C2,,0.5799091798200272,
salcm,salcm,CLASS_high_education_C2,,-2.088968632659643,
salcm,salcm,CLASS_ScaledIncome_C2,,-0.07377583940617012,
salcm,salcm,CLASS_CAR_AVAILABLE_C2,,1.183350310255878,
salcm,salcm,CLASS_block_complexity_mean_C2,,-4.205959748569456,
salcm,salcm,CLASS_INTERCEPT_C3,,-1.7290147613362095,
salcm,salcm,CLASS_model_is_deepseek_C3,,0.0,
salcm,salcm,CLASS_semantic_arm_C3,,0.6341479530475579,
salcm,salcm,CLASS_prompt_family_naturalistic_C3,,-1.0377952634962997,
salcm,salcm,CLASS_age_30_less_C3,,-0.18289372247654634,
salcm,salcm,CLASS_high_education_C3,,1.0203070754898038,
salcm,salcm,CLASS_ScaledIncome_C3,,-0.13224135879077828,
salcm,salcm,CLASS_CAR_AVAILABLE_C3,,-0.3668412474082399,
salcm,salcm,CLASS_block_complexity_mean_C3,,2.4897277270794977,
salcm,salcm,SCALE_INTERCEPT_S2,,-0.07871230125221923,
salcm,salcm,SCALE_model_is_deepseek_S2,,0.0,
salcm,salcm,SCALE_semantic_arm_S2,,-1.3242694292218833,
salcm,salcm,SCALE_prompt_family_naturalistic_S2,,0.44876174377017525,
salcm,salcm,SCALE_age_30_less_S2,,-1.7341801669232386,
salcm,salcm,SCALE_high_education_S2,,0.20641592276573562,
salcm,salcm,SCALE_ScaledIncome_S2,,0.09957402521212176,
salcm,salcm,SCALE_CAR_AVAILABLE_S2,,-2.6741621512058336,
salcm,salcm,SCALE_block_complexity_mean_S2,,1.487975406330331,
