parameter_name,estimate,paper_estimate,block,std_error,z_value
ASCPMM,-0.0978203784684788,-0.599,utility,1.0,-0.0978203784684788
ASCSM,-1.2855263728953445,-0.772,utility,1.0,-1.2855263728953445
beta_cost,-0.11941600910737499,-0.0559,utility,1.488282521659917,-0.08023745987031244
beta_time_pmm,-0.017230558625330576,-0.0294,utility,0.7927680014245277,-0.021734679747882006
beta_time_pt,-0.01983398709579672,-0.0119,utility,0.4174503645432137,-0.04751220451681637
beta_distance,-0.03989091475489129,-0.224,utility,1.0395957708883974,-0.038371563132468395
beta_ncars,1.0594790154854494,0.97,utility,1.0,1.0594790154854494
beta_nchildren,0.006622009341963664,0.215,utility,1.0,0.006622009341963664
beta_language,0.924040785357359,1.06,utility,1.0,0.924040785357359
beta_work,-0.2010536819314756,-0.583,utility,1.0,-0.2010536819314756
beta_urban,0.24199157734875018,0.283,utility,1.0,0.24199157734875018
beta_student,3.2105921284710806,3.26,utility,1.0,3.2105921284710806
beta_nbikes,-0.6133591962769286,0.385,utility,1.0,-0.6133591962769286
beta_Acar,-0.4599115452753382,-0.574,utility,1.5891077760106862,-0.2894149485756751
beta_Aenv,0.47718500439126865,0.393,utility,1.0,0.47718500439126865
Acar,3.3488391927020142,3.02,attitude,2.119293498998314,1.5801677277285313
Aenv,3.298348538449014,3.23,attitude,1.0,3.298348538449014
theta_ncars,-0.026363607743918337,0.104,attitude,1.3840976404677594,-0.019047505734500557
theta_educ,0.3020748209619048,0.235,attitude,1.2065578051389265,0.25036083615332716
theta_nbikes,0.10000834643662708,0.0845,attitude,0.9938418190129252,0.10062803207049033
theta_age,0.009537635101683924,0.00445,attitude,0.6930183122213218,0.01376245754764124
theta_valais,-0.6523626046335843,-0.223,attitude,1.0,-0.6523626046335843
theta_bern,-0.7160807123210622,-0.361,attitude,2.8878553596250334,-0.24796280393144066
theta_basel_zurich,-0.31126607546150686,-0.256,attitude,1.7245789277553782,-0.18048815884967034
theta_east,-0.3327100442759899,-0.228,attitude,1.0,-0.3327100442759899
theta_graubunden,0.049049542861296494,-0.303,attitude,1.0,0.049049542861296494
alpha_Mobil11,0.4187353353936232,,measurement,1.0,0.4187353353936232
alpha_Mobil16,-0.2866198026517232,,measurement,1.0,-0.2866198026517232
alpha_Envir01,-0.4740417396152269,,measurement,1.0,-0.4740417396152269
alpha_Envir02,0.08782654400918434,,measurement,22.329153476760847,0.00393326796291629
alpha_Envir06,0.4951486361931038,,measurement,1.0,0.4951486361931038
loading_Mobil11,1.0526247779725102,,measurement,0.9949136193156589,1.0580062002734945
loading_Mobil16,1.279707887738037,,measurement,1.1253911518316704,1.1371227556349657
loading_Envir01,0.8084401237311986,,measurement,3.5946244866379637,0.22490252507218883
loading_Envir02,0.836260336692425,,measurement,5.607066189880456,0.14914401014236187
loading_Envir06,1.0031826411259752,,measurement,1.4858447553143876,0.6751597954886702
sigma_Mobil10,1.1461726005969655,,measurement,1.3130247719267794,0.8729253439103293
sigma_Mobil11,1.0851563830335067,,measurement,1.1481738373358146,0.9451150581443908
sigma_Mobil16,0.9424008661838117,,measurement,1.2553364919981218,0.7507157421065568
sigma_Envir01,1.2436789738501985,,measurement,2.1537343807189577,0.577452347412978
sigma_Envir02,1.0270216455590744,,measurement,1.4849381831736432,0.6916258583667777
sigma_Envir05,0.8531742356953002,,measurement,0.9601484839032647,0.8885857239777277
sigma_Envir06,0.7018295464171947,,measurement,0.749686294222861,0.936164302089482
