model,block,parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
hcm,attitude,Acar,3.02,3.3488391927020142,0.3288391927020142
hcm,attitude,Aenv,3.23,3.298348538449014,0.06834853844901412
hcm,attitude,theta_age,0.00445,0.009537635101683924,0.005087635101683924
hcm,attitude,theta_basel_zurich,-0.256,-0.31126607546150686,-0.05526607546150686
hcm,attitude,theta_bern,-0.361,-0.7160807123210622,-0.3550807123210622
hcm,attitude,theta_east,-0.228,-0.3327100442759899,-0.10471004427598987
hcm,attitude,theta_educ,0.235,0.3020748209619048,0.06707482096190481
hcm,attitude,theta_graubunden,-0.303,0.049049542861296494,0.35204954286129647
hcm,attitude,theta_nbikes,0.0845,0.10000834643662708,0.015508346436627074
hcm,attitude,theta_ncars,0.104,-0.026363607743918337,-0.13036360774391834
hcm,attitude,theta_valais,-0.223,-0.6523626046335843,-0.42936260463358433
hcm,measurement,alpha_Envir01,-0.3991248013532694,-0.4740417396152269,-0.0749169382619575
hcm,measurement,alpha_Envir02,-0.3234030493330913,0.08782654400918434,0.4112295933422756
hcm,measurement,alpha_Envir06,0.3716589950450299,0.4951486361931038,0.12348964114807387
hcm,measurement,alpha_Mobil11,0.3937170371768891,0.4187353353936232,0.02501829821673407
hcm,measurement,alpha_Mobil16,0.3733648936419174,-0.2866198026517232,-0.6599846962936406
hcm,measurement,loading_Envir01,0.8381240098044899,0.8084401237311986,-0.02968388607329131
hcm,measurement,loading_Envir02,1.0113886363029705,0.836260336692425,-0.17512829961054543
hcm,measurement,loading_Envir06,1.0918488023138213,1.0031826411259752,-0.0886661611878461
hcm,measurement,loading_Mobil11,1.1552587961482288,1.0526247779725102,-0.1026340181757186
hcm,measurement,loading_Mobil16,1.0604960635271472,1.279707887738037,0.2192118242108898
hcm,measurement,sigma_Envir01,1.3086356484768995,1.2436789738501985,-0.06495667462670096
hcm,measurement,sigma_Envir02,1.130446685997802,1.0270216455590744,-0.10342504043872758
hcm,measurement,sigma_Envir05,1.0385452138341096,0.8531742356953002,-0.18537097813880943
hcm,measurement,sigma_Envir06,0.783728299511142,0.7018295464171947,-0.08189875309394723
hcm,measurement,sigma_Mobil10,1.2062988344888783,1.1461726005969655,-0.06012623389191285
hcm,measurement,sigma_Mobil11,1.097695287855269,1.0851563830335067,-0.012538904821762342
hcm,measurement,sigma_Mobil16,1.1172321136563832,0.9424008661838117,-0.1748312474725715
hcm,utility,ASCPMM,-0.599,-0.0978203784684788,0.5011796215315212
hcm,utility,ASCSM,-0.772,-1.2855263728953445,-0.5135263728953445
hcm,utility,beta_Acar,-0.574,-0.4599115452753382,0.11408845472466178
hcm,utility,beta_Aenv,0.393,0.47718500439126865,0.08418500439126864
hcm,utility,beta_cost,-0.0559,-0.11941600910737499,-0.06351600910737498
hcm,utility,beta_distance,-0.224,-0.03989091475489129,0.18410908524510872
hcm,utility,beta_language,1.06,0.924040785357359,-0.13595921464264105
hcm,utility,beta_nbikes,0.385,-0.6133591962769286,-0.9983591962769286
hcm,utility,beta_ncars,0.97,1.0594790154854494,0.08947901548544945
hcm,utility,beta_nchildren,0.215,0.006622009341963664,-0.20837799065803633
hcm,utility,beta_student,3.26,3.2105921284710806,-0.049407871528919234
hcm,utility,beta_time_pmm,-0.0294,-0.017230558625330576,0.012169441374669424
hcm,utility,beta_time_pt,-0.0119,-0.01983398709579672,-0.007933987095796718
hcm,utility,beta_urban,0.283,0.24199157734875018,-0.04100842265124979
hcm,utility,beta_work,-0.583,-0.2010536819314756,0.38194631806852436
