respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
PO0001_R1,355,19130798,0.9573855529584482,0.000409116,1,1,1,1,3,2,40,male,40 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,4,3,4,6,5,4,poe_gpt54_nano,POT0001,1,semantic_arm,1,concise,0,0.6468902854349425,0.3076856449737277,16,6,2,2,2,2,2
PO0001_R2,355,19130798,0.9573855529584482,0.000409116,1,1,1,1,3,2,40,male,40 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,4,3,4,6,5,4,poe_gpt54_nano,POT0001,2,semantic_arm,1,concise,0,0.6468902854349425,0.3076856449737277,16,6,2,2,2,2,2
PO0001_R3,355,19130798,0.9573855529584482,0.000409116,1,1,1,1,3,2,40,male,40 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,4,3,4,6,5,4,poe_gpt54_nano,POT0001,3,semantic_arm,1,concise,0,0.6468902854349425,0.3076856449737277,16,6,2,2,2,2,2
PO0001_R4,355,19130798,0.9573855529584482,0.000409116,1,1,1,1,3,2,40,male,40 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,4,3,4,6,5,4,poe_gpt54_nano,POT0001,4,semantic_arm,1,concise,0,0.6468902854349425,0.3076856449737277,16,6,2,2,2,2,2
PO0002_R1,836,31320888,0.796946084663805,0.000340556,2,1,6,3,7,4,39,female,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,0,0,1,1,3,4,2,0,1,a leisure-related trip,university education,1,car is available for this trip,4,3,5,4,3,3,2,poe_gpt54_nano,POT0002,1,semantic_arm,1,naturalistic,1,0.5437771881615747,0.2458206608302791,16,6,2,2,2,2,2
PO0002_R2,836,31320888,0.796946084663805,0.000340556,2,1,6,3,7,4,39,female,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,0,0,1,1,3,4,2,0,1,a leisure-related trip,university education,1,car is available for this trip,4,3,5,4,3,3,2,poe_gpt54_nano,POT0002,2,semantic_arm,1,naturalistic,1,0.5437771881615747,0.2458206608302791,16,6,2,2,2,2,2
PO0002_R3,836,31320888,0.796946084663805,0.000340556,2,1,6,3,7,4,39,female,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,0,0,1,1,3,4,2,0,1,a leisure-related trip,university education,1,car is available for this trip,4,3,5,4,3,3,2,poe_gpt54_nano,POT0002,3,semantic_arm,1,naturalistic,1,0.5437771881615747,0.2458206608302791,16,6,2,2,2,2,2
PO0002_R4,836,31320888,0.796946084663805,0.000340556,2,1,6,3,7,4,39,female,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,0,0,1,1,3,4,2,0,1,a leisure-related trip,university education,1,car is available for this trip,4,3,5,4,3,3,2,poe_gpt54_nano,POT0002,4,semantic_arm,1,naturalistic,1,0.5437771881615747,0.2458206608302791,16,6,2,2,2,2,2
PO0003_R1,328,19130203,0.2298009887184065,9.82e-05,1,1,2,1,6,2,52,female,52 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,0,0,2,7,4,1,1,0,a work-related trip,applied higher education,1,car is available for this trip,2,4,5,5,1,1,2,poe_gpt54_nano,POT0003,1,semantic_arm,1,naturalistic,1,0.5376847356483591,0.1918175308263967,16,6,2,2,2,2,2
PO0003_R2,328,19130203,0.2298009887184065,9.82e-05,1,1,2,1,6,2,52,female,52 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,0,0,2,7,4,1,1,0,a work-related trip,applied higher education,1,car is available for this trip,2,4,5,5,1,1,2,poe_gpt54_nano,POT0003,2,semantic_arm,1,naturalistic,1,0.5376847356483591,0.1918175308263967,16,6,2,2,2,2,2
PO0003_R3,328,19130203,0.2298009887184065,9.82e-05,1,1,2,1,6,2,52,female,52 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,0,0,2,7,4,1,1,0,a work-related trip,applied higher education,1,car is available for this trip,2,4,5,5,1,1,2,poe_gpt54_nano,POT0003,3,semantic_arm,1,naturalistic,1,0.5376847356483591,0.1918175308263967,16,6,2,2,2,2,2
PO0003_R4,328,19130203,0.2298009887184065,9.82e-05,1,1,2,1,6,2,52,female,52 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,0,0,2,7,4,1,1,0,a work-related trip,applied higher education,1,car is available for this trip,2,4,5,5,1,1,2,poe_gpt54_nano,POT0003,4,semantic_arm,1,naturalistic,1,0.5376847356483591,0.1918175308263967,16,6,2,2,2,2,2
PO0004_R1,1168,44670437,0.2298009887184065,9.82e-05,2,1,2,1,4,5,56,female,56 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,1,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,4,3,5,4,poe_gpt54_nano,POT0004,1,neutral_arm,0,concise,0,0.6736899382973315,0.2719266547357198,16,6,2,2,2,2,2
PO0004_R2,1168,44670437,0.2298009887184065,9.82e-05,2,1,2,1,4,5,56,female,56 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,1,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,4,3,5,4,poe_gpt54_nano,POT0004,2,neutral_arm,0,concise,0,0.6736899382973315,0.2719266547357198,16,6,2,2,2,2,2
PO0004_R3,1168,44670437,0.2298009887184065,9.82e-05,2,1,2,1,4,5,56,female,56 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,1,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,4,3,5,4,poe_gpt54_nano,POT0004,3,neutral_arm,0,concise,0,0.6736899382973315,0.2719266547357198,16,6,2,2,2,2,2
PO0004_R4,1168,44670437,0.2298009887184065,9.82e-05,2,1,2,1,4,5,56,female,56 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,1,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,4,3,5,4,poe_gpt54_nano,POT0004,4,neutral_arm,0,concise,0,0.6736899382973315,0.2719266547357198,16,6,2,2,2,2,2
