parameter_name,estimate,std_error,z_value
ASCPMM,0.6019863129204903,0.23124200705520848,2.60327403565896
ASCSM,-3.055556543045492,0.1740251684131769,-17.558130073409142
beta_cost,-0.0768327862799142,0.010152814705258511,-7.567634051286262
beta_time_pmm,-0.01745320956503644,0.0030137621320492428,-5.791170238498194
beta_time_pt,-0.021132791865083805,0.002223973293294804,-9.502268722739782
beta_distance,-0.043901140924655656,0.010917033541906889,-4.021343413129003
beta_ncars,0.3240655957630551,0.09259382956942279,3.499861678364701
beta_nchildren,0.08658532691071986,0.0730708881253314,1.1849496992866497
beta_language,0.30215282430795126,0.12067874960889027,2.503778215196986
beta_work,0.40464006792385937,0.13352393815923025,3.03046834524396
beta_urban,0.08331049084389869,0.1472919462353356,0.565614705849493
beta_student,1.5945067735564777,0.24477122299684415,6.514273835111066
beta_nbikes,-0.2160364341433448,0.13697975711005209,-1.577141314170802
