respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
GO0001_R1,261,11460060,0.3747464412665672,0.000160139,1,1,1,-1,7,1,47,male,47 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,6,4,0,1,a trip with unreported purpose,university education,1,car is available for this trip,5,4,5,6,2,4,3,gpt_oss_120b,GOT0001,1,neutral_arm,0,naturalistic,1,0.6855575680575257,0.25009035985154504,16,6,2,2,2,2,2
GO0001_R2,261,11460060,0.3747464412665672,0.000160139,1,1,1,-1,7,1,47,male,47 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,6,4,0,1,a trip with unreported purpose,university education,1,car is available for this trip,5,4,5,6,2,4,3,gpt_oss_120b,GOT0001,2,neutral_arm,0,naturalistic,1,0.6855575680575257,0.25009035985154504,16,6,2,2,2,2,2
GO0001_R3,261,11460060,0.3747464412665672,0.000160139,1,1,1,-1,7,1,47,male,47 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,6,4,0,1,a trip with unreported purpose,university education,1,car is available for this trip,5,4,5,6,2,4,3,gpt_oss_120b,GOT0001,3,neutral_arm,0,naturalistic,1,0.6855575680575257,0.25009035985154504,16,6,2,2,2,2,2
GO0001_R4,261,11460060,0.3747464412665672,0.000160139,1,1,1,-1,7,1,47,male,47 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,6,4,0,1,a trip with unreported purpose,university education,1,car is available for this trip,5,4,5,6,2,4,3,gpt_oss_120b,GOT0001,4,neutral_arm,0,naturalistic,1,0.6855575680575257,0.25009035985154504,16,6,2,2,2,2,2
GO0002_R1,525,28240303,0.6762935451898376,0.000288998,1,2,9,3,3,3,67,female,65 or older,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,1,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,3,3,3,4,4,4,gpt_oss_120b,GOT0002,1,neutral_arm,0,naturalistic,1,0.49399492792259897,0.16418189264774968,16,6,2,2,2,2,2
GO0002_R2,525,28240303,0.6762935451898376,0.000288998,1,2,9,3,3,3,67,female,65 or older,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,1,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,3,3,3,4,4,4,gpt_oss_120b,GOT0002,2,neutral_arm,0,naturalistic,1,0.49399492792259897,0.16418189264774968,16,6,2,2,2,2,2
GO0002_R3,525,28240303,0.6762935451898376,0.000288998,1,2,9,3,3,3,67,female,65 or older,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,1,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,3,3,3,4,4,4,gpt_oss_120b,GOT0002,3,neutral_arm,0,naturalistic,1,0.49399492792259897,0.16418189264774968,16,6,2,2,2,2,2
GO0002_R4,525,28240303,0.6762935451898376,0.000288998,1,2,9,3,3,3,67,female,65 or older,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,1,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,3,3,3,4,4,4,gpt_oss_120b,GOT0002,4,neutral_arm,0,naturalistic,1,0.49399492792259897,0.16418189264774968,16,6,2,2,2,2,2
GO0003_R1,308,19130036,0.796946084663805,0.000340556,1,1,2,3,7,2,29,female,30 or younger,9000,around CHF 9000 per month,1,0,0,0,0,1,9.0,0,0,1,2,0,4,2,0,1,a leisure-related trip,university education,1,car is available for this trip,3,5,4,5,5,4,2,gpt_oss_120b,GOT0003,1,semantic_arm,1,naturalistic,1,0.4671330695531675,0.24322460754418204,16,6,2,2,2,2,2
GO0003_R2,308,19130036,0.796946084663805,0.000340556,1,1,2,3,7,2,29,female,30 or younger,9000,around CHF 9000 per month,1,0,0,0,0,1,9.0,0,0,1,2,0,4,2,0,1,a leisure-related trip,university education,1,car is available for this trip,3,5,4,5,5,4,2,gpt_oss_120b,GOT0003,2,semantic_arm,1,naturalistic,1,0.4671330695531675,0.24322460754418204,16,6,2,2,2,2,2
