parameter_name,estimate,block,std_error,z_value
Acar,2.9194732492895676,attitude,1.0,2.9194732492895676
Aenv,2.9734238066851932,attitude,1.0,2.9734238066851932
theta_ncars,0.10670787444780333,attitude,1.2692474471855577,0.08407176605666489
theta_educ,0.24842811377075463,attitude,1.1143956551569154,0.22292631223133588
theta_nbikes,0.1030067513134095,attitude,0.6768397460463095,0.1521877991283948
theta_age,0.009814824735645282,attitude,0.3854228687625104,0.025465081423834697
theta_valais,-0.30551825986219794,attitude,1.0,-0.30551825986219794
theta_bern,-0.2519258012530949,attitude,3.3939150160866287,-0.07422867103595872
theta_basel_zurich,-0.1583010293027004,attitude,1.3611145691653628,-0.11630250155927051
theta_east,-0.03369834486025272,attitude,6.482004575437845,-0.005198753636790896
theta_graubunden,-0.16955498864898272,attitude,1.0,-0.16955498864898272
