parameter_name,estimate,block,std_error,z_value
ASCPMM,-0.313160535961893,utility,1.0,-0.313160535961893
ASCSM,-1.0513770840147612,utility,1.0,-1.0513770840147612
beta_cost,-0.08828450981705593,utility,1.6962662217895128,-0.052046376142489165
beta_time_pmm,-0.017298213971144977,utility,0.9475941931913666,-0.018254875447143652
beta_time_pt,-0.022598049439160436,utility,0.8014294813715709,-0.028197177623770477
beta_distance,-0.14048150157063202,utility,1.0,-0.14048150157063202
beta_ncars,0.9128159258115851,utility,1.0,0.9128159258115851
beta_nchildren,0.22429346433891234,utility,1.0,0.22429346433891234
beta_language,1.006362675435258,utility,1.0,1.006362675435258
beta_work,-0.2037113448241413,utility,1.0,-0.2037113448241413
beta_urban,0.14844767077631635,utility,1.0,0.14844767077631635
beta_student,3.1895035693840383,utility,1.0,3.1895035693840383
beta_nbikes,-0.39668136787893843,utility,1.0,-0.39668136787893843
beta_Acar,-0.5040659755152309,utility,1.0,-0.5040659755152309
beta_Aenv,0.3295242264113923,utility,1.5778906820934722,0.20883843865165286
