model_key,respondent_id,block_template_id,run_repeat,indicator_name,indicator_value,is_valid_indicator,duration_sec
gpt_oss_120b,GO0001_R1,GOT0001,1,Envir01,4,1,0.0
gpt_oss_120b,GO0001_R1,GOT0001,1,Envir02,4,1,0.0
gpt_oss_120b,GO0001_R1,GOT0001,1,Envir05,4,1,0.0
gpt_oss_120b,GO0001_R1,GOT0001,1,Envir06,4,1,0.0
gpt_oss_120b,GO0001_R1,GOT0001,1,Mobil10,4,1,0.0
gpt_oss_120b,GO0001_R1,GOT0001,1,Mobil11,4,1,0.0
gpt_oss_120b,GO0001_R1,GOT0001,1,Mobil16,4,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Envir01,4,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Envir02,3,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Envir05,5,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Envir06,4,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Mobil10,2,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Mobil11,2,1,0.0
gpt_oss_120b,GO0001_R2,GOT0001,2,Mobil16,2,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Envir01,4,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Envir02,4,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Envir05,5,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Envir06,5,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Mobil10,3,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Mobil11,3,1,0.0
gpt_oss_120b,GO0001_R3,GOT0001,3,Mobil16,2,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Envir01,4,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Envir02,5,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Envir05,5,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Envir06,5,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Mobil10,4,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Mobil11,4,1,0.0
gpt_oss_120b,GO0001_R4,GOT0001,4,Mobil16,2,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Envir01,2,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Envir02,4,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Envir05,4,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Envir06,4,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Mobil10,2,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Mobil11,3,1,0.0
gpt_oss_120b,GO0002_R1,GOT0002,1,Mobil16,3,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Envir01,2,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Envir02,4,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Envir05,4,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Envir06,4,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Mobil10,1,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Mobil11,3,1,0.0
gpt_oss_120b,GO0002_R2,GOT0002,2,Mobil16,3,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Envir01,2,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Envir02,4,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Envir05,4,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Envir06,4,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Mobil10,2,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Mobil11,3,1,0.0
gpt_oss_120b,GO0002_R3,GOT0002,3,Mobil16,3,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Envir01,2,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Envir02,4,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Envir05,4,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Envir06,4,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Mobil10,1,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Mobil11,3,1,0.0
gpt_oss_120b,GO0002_R4,GOT0002,4,Mobil16,4,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Envir01,4,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Envir02,3,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Envir05,5,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Envir06,4,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Mobil10,4,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Mobil11,4,1,0.0
gpt_oss_120b,GO0003_R1,GOT0003,1,Mobil16,4,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Envir01,2,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Envir02,4,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Envir05,5,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Envir06,5,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Mobil10,3,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Mobil11,3,1,0.0
gpt_oss_120b,GO0003_R2,GOT0003,2,Mobil16,4,1,0.0
gpt_oss_120b,GO0003_R3,GOT0003,3,Envir01,4,1,0.0
gpt_oss_120b,GO0003_R3,GOT0003,3,Envir02,5,1,0.0
gpt_oss_120b,GO0003_R3,GOT0003,3,Envir05,5,1,0.0
gpt_oss_120b,GO0003_R3,GOT0003,3,Envir06,5,1,0.0
gpt_oss_120b,GO0003_R3,GOT0003,3,Mobil10,4,1,0.0
gpt_oss_120b,GO0003_R3,GOT0003,3,Mobil11,3,1,0.0
