respondent_id,task_index,Choice,WaitingTimePT,TimePT,MarginalCostPT,CostPT,TimeCar,CostCar,CostCarCHF,distance_km,CarAvail,CAR_AVAILABLE,InVehicleTime,source_observation_id_panel,human_id_panel,human_id,source_observation_id,Weight,CalculatedIncome,Education,LangCode,UrbRur,OccupStat,TripPurpose,Region,age,NbHousehold,NbChild,NbCar,NbBicy,French,Urban,Student,WorkTrip,EducHigh,AgeTerm,Valais,Bern,BaselZurich,East,Graubunden,NbCar_0,NbChild_0,NbBicy_0,Mobil10,Mobil11,Mobil16,Envir01,Envir02,Envir05,Envir06,ID
GM0001_R1,1,1,24.0,100.0,0.0,0.0,22.0,3.5,3.5,26.0,1,1,76.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R1,2,1,0.0,46.0,5.6,5.6,5.0,0.72,0.72,4.1,1,1,46.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R1,3,1,8.0,47.0,6.3,6.3,25.0,3.01,3.01,18.0,1,1,39.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R1,4,0,0.0,17.0,0.0,0.0,17.0,1.71,1.71,11.0,1,1,17.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R1,5,1,28.0,182.0,47.6,47.6,19.0,2.74,2.74,18.0,1,1,154.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R1,6,0,8.0,58.0,0.0,0.0,26.0,3.65,3.65,24.0,0,0,50.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R2,1,1,24.0,100.0,0.0,0.0,22.0,3.5,3.5,26.0,1,1,76.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R2,2,1,0.0,46.0,5.6,5.6,5.0,0.72,0.72,4.1,1,1,46.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R2,3,1,8.0,47.0,6.3,6.3,25.0,3.01,3.01,18.0,1,1,39.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R2,4,0,0.0,17.0,0.0,0.0,17.0,1.71,1.71,11.0,1,1,17.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R2,5,1,28.0,182.0,47.6,47.6,19.0,2.74,2.74,18.0,1,1,154.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R2,6,0,8.0,58.0,0.0,0.0,26.0,3.65,3.65,24.0,0,0,50.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R3,1,1,24.0,100.0,0.0,0.0,22.0,3.5,3.5,26.0,1,1,76.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R3,2,1,0.0,46.0,5.6,5.6,5.0,0.72,0.72,4.1,1,1,46.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R3,3,1,8.0,47.0,6.3,6.3,25.0,3.01,3.01,18.0,1,1,39.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R3,4,0,0.0,17.0,0.0,0.0,17.0,1.71,1.71,11.0,1,1,17.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R3,5,1,28.0,182.0,47.6,47.6,19.0,2.74,2.74,18.0,1,1,154.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R3,6,0,8.0,58.0,0.0,0.0,26.0,3.65,3.65,24.0,0,0,50.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R4,1,1,24.0,100.0,0.0,0.0,22.0,3.5,3.5,26.0,1,1,76.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R4,2,1,0.0,46.0,5.6,5.6,5.0,0.72,0.72,4.1,1,1,46.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R4,3,1,8.0,47.0,6.3,6.3,25.0,3.01,3.01,18.0,1,1,39.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R4,4,0,0.0,17.0,0.0,0.0,17.0,1.71,1.71,11.0,1,1,17.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R4,5,1,28.0,182.0,47.6,47.6,19.0,2.74,2.74,18.0,1,1,154.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0001_R4,6,0,8.0,58.0,0.0,0.0,26.0,3.65,3.65,24.0,0,0,50.0,322,19130149,19130149,322,0.000109132,3250,6,1,1,1,1,2,41,4,2,2,4,1,0,0,1,1,0,1,0,0,0,0,2,2,4,1,1,2,1,5,4,4,19130149
GM0002_R1,1,1,7.0,61.0,4.9,4.9,23.0,2.68,2.68,20.1,1,1,54.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R1,2,1,0.0,27.0,6.0,6.0,12.0,1.43,1.43,10.0,1,1,27.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R1,3,0,0.0,15.0,0.0,0.0,10.0,1.23,1.23,7.0,1,1,15.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R1,4,1,0.0,46.0,11.4,11.4,34.0,3.48,3.48,19.5,1,1,46.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R1,5,1,0.0,148.0,28.2,28.2,50.0,7.18,7.18,50.7,1,1,148.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R1,6,1,21.0,126.0,10.0,10.0,50.0,7.17,7.17,50.0,1,1,105.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R2,1,1,7.0,61.0,4.9,4.9,23.0,2.68,2.68,20.1,1,1,54.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R2,2,1,0.0,27.0,6.0,6.0,12.0,1.43,1.43,10.0,1,1,27.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R2,3,0,0.0,15.0,0.0,0.0,10.0,1.23,1.23,7.0,1,1,15.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R2,4,1,0.0,46.0,11.4,11.4,34.0,3.48,3.48,19.5,1,1,46.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R2,5,1,0.0,148.0,28.2,28.2,50.0,7.18,7.18,50.7,1,1,148.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R2,6,1,21.0,126.0,10.0,10.0,50.0,7.17,7.17,50.0,1,1,105.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R3,1,1,7.0,61.0,4.9,4.9,23.0,2.68,2.68,20.1,1,1,54.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R3,2,1,0.0,27.0,6.0,6.0,12.0,1.43,1.43,10.0,1,1,27.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
GM0002_R3,3,0,0.0,15.0,0.0,0.0,10.0,1.23,1.23,7.0,1,1,15.0,426,19650447,19650447,426,0.00087004,3250,3,1,2,2,1,2,37,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,4,5,4,1,2,3,3,19650447
