parameter_name,estimate,std_error,z_value
ASCPMM,0.5975250359907549,0.20644963053922216,2.894289684268699
ASCSM,-3.1767311532010707,0.3445163734673911,-9.220842310711692
beta_cost,-0.11127846020011282,0.018244535174088628,-6.099276256604961
beta_time_pmm,-0.008650565615866714,0.005368184025487546,-1.6114510185930255
beta_time_pt,-0.021738239083984662,0.003108763802255933,-6.992566970900104
beta_distance,-0.03272393468842902,0.006565237358478258,-4.984425223586132
beta_ncars,0.2964490805863351,0.10819608026496197,2.739924402624932
beta_nchildren,0.3096591583913215,0.09436160781375454,3.281622320409258
beta_language,-0.11306368890655849,0.15348996268083745,-0.7366194305595072
beta_work,0.21582228958525626,0.15174672137026204,1.422253394580103
beta_urban,-0.20284742285970941,0.1657281699536044,-1.2239767259633443
beta_student,-0.0040465477175735485,0.3481031506263979,-0.011624565047147506
beta_nbikes,0.21074117238269371,0.0768803582321116,2.7411575235697945
