respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
GM0001_R1,322,19130149,0.2553833146722722,0.000109132,1,1,1,1,6,2,41,male,41 years old,3250,around CHF 3250 per month,1,0,0,1,0,0,3.25,1,0,1,2,4,4,2,1,0,a work-related trip,applied higher education,1,car is available for this trip,1,5,4,4,1,1,2,gemma4_31b_awq,GMT0001,1,neutral_arm,0,naturalistic,1,0.6040046021933404,0.2840831516775208,16,6,2,2,2,2,2
GM0001_R2,322,19130149,0.2553833146722722,0.000109132,1,1,1,1,6,2,41,male,41 years old,3250,around CHF 3250 per month,1,0,0,1,0,0,3.25,1,0,1,2,4,4,2,1,0,a work-related trip,applied higher education,1,car is available for this trip,1,5,4,4,1,1,2,gemma4_31b_awq,GMT0001,2,neutral_arm,0,naturalistic,1,0.6040046021933404,0.2840831516775208,16,6,2,2,2,2,2
GM0001_R3,322,19130149,0.2553833146722722,0.000109132,1,1,1,1,6,2,41,male,41 years old,3250,around CHF 3250 per month,1,0,0,1,0,0,3.25,1,0,1,2,4,4,2,1,0,a work-related trip,applied higher education,1,car is available for this trip,1,5,4,4,1,1,2,gemma4_31b_awq,GMT0001,3,neutral_arm,0,naturalistic,1,0.6040046021933404,0.2840831516775208,16,6,2,2,2,2,2
GM0001_R4,322,19130149,0.2553833146722722,0.000109132,1,1,1,1,6,2,41,male,41 years old,3250,around CHF 3250 per month,1,0,0,1,0,0,3.25,1,0,1,2,4,4,2,1,0,a work-related trip,applied higher education,1,car is available for this trip,1,5,4,4,1,1,2,gemma4_31b_awq,GMT0001,4,neutral_arm,0,naturalistic,1,0.6040046021933404,0.2840831516775208,16,6,2,2,2,2,2
GM0002_R1,426,19650447,2.0360086784578657,0.00087004,1,2,2,1,3,2,37,female,37 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,2,3,3,4,5,4,gemma4_31b_awq,GMT0002,1,semantic_arm,1,concise,0,0.5887962341406929,0.19114401191471883,16,6,2,2,2,2,2
GM0002_R2,426,19650447,2.0360086784578657,0.00087004,1,2,2,1,3,2,37,female,37 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,2,3,3,4,5,4,gemma4_31b_awq,GMT0002,2,semantic_arm,1,concise,0,0.5887962341406929,0.19114401191471883,16,6,2,2,2,2,2
GM0002_R3,426,19650447,2.0360086784578657,0.00087004,1,2,2,1,3,2,37,female,37 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,2,3,3,4,5,4,gemma4_31b_awq,GMT0002,3,semantic_arm,1,concise,0,0.5887962341406929,0.19114401191471883,16,6,2,2,2,2,2
GM0002_R4,426,19650447,2.0360086784578657,0.00087004,1,2,2,1,3,2,37,female,37 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,2,3,3,4,5,4,gemma4_31b_awq,GMT0002,4,semantic_arm,1,concise,0,0.5887962341406929,0.19114401191471883,16,6,2,2,2,2,2
GM0003_R1,1488,54200563,0.7518844977110388,0.0003213,2,2,9,3,3,6,73,male,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,4,5,3,5,4,gemma4_31b_awq,GMT0003,1,semantic_arm,1,concise,0,0.7507278936391825,0.17993794051954407,16,6,2,2,2,2,2
GM0003_R2,1488,54200563,0.7518844977110388,0.0003213,2,2,9,3,3,6,73,male,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,4,5,3,5,4,gemma4_31b_awq,GMT0003,2,semantic_arm,1,concise,0,0.7507278936391825,0.17993794051954407,16,6,2,2,2,2,2
GM0003_R3,1488,54200563,0.7518844977110388,0.0003213,2,2,9,3,3,6,73,male,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,4,5,3,5,4,gemma4_31b_awq,GMT0003,3,semantic_arm,1,concise,0,0.7507278936391825,0.17993794051954407,16,6,2,2,2,2,2
GM0003_R4,1488,54200563,0.7518844977110388,0.0003213,2,2,9,3,3,6,73,male,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,4,5,3,5,4,gemma4_31b_awq,GMT0003,4,semantic_arm,1,concise,0,0.7507278936391825,0.17993794051954407,16,6,2,2,2,2,2
GM0004_R1,1617,54420061,0.6762935451898376,0.000288998,2,2,9,3,3,6,66,female,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,1,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,4,4,4,-1,5,4,gemma4_31b_awq,GMT0004,1,neutral_arm,0,naturalistic,1,0.39956100438497294,0.1719400061572613,16,6,2,2,2,2,2
GM0004_R2,1617,54420061,0.6762935451898376,0.000288998,2,2,9,3,3,6,66,female,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,1,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,4,4,4,-1,5,4,gemma4_31b_awq,GMT0004,2,neutral_arm,0,naturalistic,1,0.39956100438497294,0.1719400061572613,16,6,2,2,2,2,2
GM0004_R3,1617,54420061,0.6762935451898376,0.000288998,2,2,9,3,3,6,66,female,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,1,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,4,4,4,-1,5,4,gemma4_31b_awq,GMT0004,3,neutral_arm,0,naturalistic,1,0.39956100438497294,0.1719400061572613,16,6,2,2,2,2,2
GM0004_R4,1617,54420061,0.6762935451898376,0.000288998,2,2,9,3,3,6,66,female,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,1,1,1,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,4,4,4,-1,5,4,gemma4_31b_awq,GMT0004,4,neutral_arm,0,naturalistic,1,0.39956100438497294,0.1719400061572613,16,6,2,2,2,2,2
GM0005_R1,1342,50760116,2.0360086784578657,0.00087004,2,1,1,1,3,5,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,4,2,4,6,4,4,gemma4_31b_awq,GMT0005,1,semantic_arm,1,naturalistic,1,0.7673715663786469,0.20957298564063442,16,6,2,2,2,2,2
GM0005_R2,1342,50760116,2.0360086784578657,0.00087004,2,1,1,1,3,5,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,4,2,4,6,4,4,gemma4_31b_awq,GMT0005,2,semantic_arm,1,naturalistic,1,0.7673715663786469,0.20957298564063442,16,6,2,2,2,2,2
GM0005_R3,1342,50760116,2.0360086784578657,0.00087004,2,1,1,1,3,5,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,4,2,4,6,4,4,gemma4_31b_awq,GMT0005,3,semantic_arm,1,naturalistic,1,0.7673715663786469,0.20957298564063442,16,6,2,2,2,2,2
GM0005_R4,1342,50760116,2.0360086784578657,0.00087004,2,1,1,1,3,5,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,4,2,4,6,4,4,gemma4_31b_awq,GMT0005,4,semantic_arm,1,naturalistic,1,0.7673715663786469,0.20957298564063442,16,6,2,2,2,2,2
GM0006_R1,1718,54440509,0.2553833146722722,0.000109132,2,1,1,3,4,6,48,male,48 years old,9000,around CHF 9000 per month,0,0,0,0,0,0,9.0,1,0,0,2,4,4,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,5,3,4,2,gemma4_31b_awq,GMT0006,1,neutral_arm,0,naturalistic,1,0.6168513746209215,0.30075149476409685,16,6,2,2,2,2,2
GM0006_R2,1718,54440509,0.2553833146722722,0.000109132,2,1,1,3,4,6,48,male,48 years old,9000,around CHF 9000 per month,0,0,0,0,0,0,9.0,1,0,0,2,4,4,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,5,3,4,2,gemma4_31b_awq,GMT0006,2,neutral_arm,0,naturalistic,1,0.6168513746209215,0.30075149476409685,16,6,2,2,2,2,2
GM0006_R3,1718,54440509,0.2553833146722722,0.000109132,2,1,1,3,4,6,48,male,48 years old,9000,around CHF 9000 per month,0,0,0,0,0,0,9.0,1,0,0,2,4,4,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,5,3,4,2,gemma4_31b_awq,GMT0006,3,neutral_arm,0,naturalistic,1,0.6168513746209215,0.30075149476409685,16,6,2,2,2,2,2
GM0006_R4,1718,54440509,0.2553833146722722,0.000109132,2,1,1,3,4,6,48,male,48 years old,9000,around CHF 9000 per month,0,0,0,0,0,0,9.0,1,0,0,2,4,4,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,3,4,3,5,3,4,2,gemma4_31b_awq,GMT0006,4,neutral_arm,0,naturalistic,1,0.6168513746209215,0.30075149476409685,16,6,2,2,2,2,2
GM0007_R1,1343,50760131,0.2553833146722722,0.000109132,2,1,1,3,4,5,50,male,50 years old,7000,around CHF 7000 per month,0,0,0,0,0,0,7.0,1,0,1,2,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,5,4,5,6,4,2,gemma4_31b_awq,GMT0007,1,semantic_arm,1,naturalistic,1,0.6228647699028146,0.28217945400524375,16,6,2,2,2,2,2
GM0007_R2,1343,50760131,0.2553833146722722,0.000109132,2,1,1,3,4,5,50,male,50 years old,7000,around CHF 7000 per month,0,0,0,0,0,0,7.0,1,0,1,2,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,5,4,5,6,4,2,gemma4_31b_awq,GMT0007,2,semantic_arm,1,naturalistic,1,0.6228647699028146,0.28217945400524375,16,6,2,2,2,2,2
GM0007_R3,1343,50760131,0.2553833146722722,0.000109132,2,1,1,3,4,5,50,male,50 years old,7000,around CHF 7000 per month,0,0,0,0,0,0,7.0,1,0,1,2,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,5,4,5,6,4,2,gemma4_31b_awq,GMT0007,3,semantic_arm,1,naturalistic,1,0.6228647699028146,0.28217945400524375,16,6,2,2,2,2,2
GM0007_R4,1343,50760131,0.2553833146722722,0.000109132,2,1,1,3,4,5,50,male,50 years old,7000,around CHF 7000 per month,0,0,0,0,0,0,7.0,1,0,1,2,0,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,5,4,5,6,4,2,gemma4_31b_awq,GMT0007,4,semantic_arm,1,naturalistic,1,0.6228647699028146,0.28217945400524375,16,6,2,2,2,2,2
GM0008_R1,584,28241263,5.711897805574239,0.002440844,1,2,8,1,2,3,17,male,30 or younger,6101,around CHF 6101 per month,0,1,0,0,0,1,6.101,0,0,1,2,3,4,0,1,0,a work-related trip,compulsory education,0,car is not available for this trip,5,3,5,5,6,1,3,gemma4_31b_awq,GMT0008,1,neutral_arm,0,naturalistic,1,0.4539355555808005,0.24831334984417622,16,6,2,2,2,2,2
