model_key,block_template_id,respondent_id,run_repeat,exact_repeat_flip_rate_mean,response_entropy_mean,intervention_gap_tv_mean,excess_intervention_gap_mean
gemma4_31b_awq,GMT0001,GM0001_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0001,GM0001_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0001,GM0001_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0001,GM0001_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0002,GM0002_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0002,GM0002_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0002,GM0002_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0002,GM0002_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0003,GM0003_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0003,GM0003_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0003,GM0003_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0003,GM0003_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0004,GM0004_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0004,GM0004_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0004,GM0004_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0004,GM0004_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0005,GM0005_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0005,GM0005_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0005,GM0005_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0005,GM0005_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0006,GM0006_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0006,GM0006_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0006,GM0006_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0006,GM0006_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0007,GM0007_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0007,GM0007_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0007,GM0007_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0007,GM0007_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0008,GM0008_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0008,GM0008_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0008,GM0008_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0008,GM0008_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0009,GM0009_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0009,GM0009_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0009,GM0009_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0009,GM0009_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0010,GM0010_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0010,GM0010_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0010,GM0010_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0010,GM0010_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0011,GM0011_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0011,GM0011_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0011,GM0011_R3,3,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0011,GM0011_R4,4,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0012,GM0012_R1,1,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0012,GM0012_R2,2,0.0,0.0,0.0,0.0
gemma4_31b_awq,GMT0012,GM0012_R3,3,0.0,0.0,0.0,0.0
