parameter_name,estimate,block,std_error,z_value
Acar,2.929284662644264,attitude,5.0385188006538,0.581378134832832
Aenv,3.368124346807196,attitude,3.805736913243957,0.8850123967019712
theta_ncars,0.2071802803157617,attitude,2.056079756566713,0.10076470995547171
theta_educ,0.1776631351643405,attitude,1.4031048497726728,0.12662142475890167
theta_nbikes,0.06874578063102768,attitude,1.2891263087580018,0.053327420411782796
theta_age,0.006233994756457409,attitude,0.3273339914912451,0.01904475220571202
theta_valais,-0.06726397075547898,attitude,3.135756717920875,-0.021450634346428996
theta_bern,-0.6159884153306986,attitude,1.0,-0.6159884153306986
theta_basel_zurich,-0.532624787919754,attitude,1.0,-0.532624787919754
theta_east,-0.052508234424113086,attitude,6.446581556532132,-0.008145128385277006
theta_graubunden,-0.2976430895689781,attitude,8.808897858747969,-0.0337889137031364
