parameter_name,estimate,block,std_error,z_value
ASCPMM,-0.3446111111357128,utility,1.0,-0.3446111111357128
ASCSM,-1.0317954476255493,utility,1.0,-1.0317954476255493
beta_cost,-0.14883201865162574,utility,1.6486200851252213,-0.09027672293603117
beta_time_pmm,-0.00404213992012816,utility,1.0654572030428497,-0.0037938078681942103
beta_time_pt,-0.025583863762134743,utility,0.5352864903115445,-0.04779471222455953
beta_distance,-0.06592965775536296,utility,1.2560994585777825,-0.05248760940476143
beta_ncars,1.1421271725489053,utility,1.0,1.1421271725489053
beta_nchildren,0.2693741545766154,utility,1.0,0.2693741545766154
beta_language,0.9763272149464328,utility,1.0,0.9763272149464328
beta_work,-0.3219428966777784,utility,1.0,-0.3219428966777784
beta_urban,0.2330880983519232,utility,1.0,0.2330880983519232
beta_student,3.164118349976969,utility,1.0,3.164118349976969
beta_nbikes,-0.2087201591059093,utility,1.0,-0.2087201591059093
beta_Acar,-0.534652243002083,utility,1.0,-0.534652243002083
beta_Aenv,0.4214452230525755,utility,1.5136577169670238,0.27842835162036633
Acar,2.929284662644264,attitude,5.0385188006538,0.581378134832832
Aenv,3.368124346807196,attitude,3.805736913243957,0.8850123967019712
theta_ncars,0.2071802803157617,attitude,2.056079756566713,0.10076470995547171
theta_educ,0.1776631351643405,attitude,1.4031048497726728,0.12662142475890167
theta_nbikes,0.06874578063102768,attitude,1.2891263087580018,0.053327420411782796
theta_age,0.006233994756457409,attitude,0.3273339914912451,0.01904475220571202
theta_valais,-0.06726397075547898,attitude,3.135756717920875,-0.021450634346428996
theta_bern,-0.6159884153306986,attitude,1.0,-0.6159884153306986
theta_basel_zurich,-0.532624787919754,attitude,1.0,-0.532624787919754
theta_east,-0.052508234424113086,attitude,6.446581556532132,-0.008145128385277006
theta_graubunden,-0.2976430895689781,attitude,8.808897858747969,-0.0337889137031364
alpha_Mobil11,0.46650827260794747,measurement,1.0,0.46650827260794747
alpha_Mobil16,-0.29500463361421264,measurement,1.0,-0.29500463361421264
alpha_Envir01,-0.4089348145048633,measurement,1.0,-0.4089348145048633
alpha_Envir02,0.2922733093178087,measurement,1.0,0.2922733093178087
alpha_Envir06,0.3883227525471552,measurement,1.0,0.3883227525471552
loading_Mobil11,1.135339799332235,measurement,1.7867551922416685,0.6354198965040276
loading_Mobil16,1.2451048852100663,measurement,1.5082381943188947,0.8255359729650285
loading_Envir01,0.8004274057947209,measurement,1.1529068528129494,0.6942689288746767
loading_Envir02,0.8555804290750005,measurement,1.307381440856301,0.6544229574764482
loading_Envir06,1.075303772520359,measurement,1.0700549119772889,1.004905225408826
sigma_Mobil10,1.0076989950918236,measurement,1.0527245871868314,0.9572294666211525
sigma_Mobil11,1.14024245465777,measurement,1.189542403497815,0.9585555347206792
sigma_Mobil16,1.0541591199320608,measurement,1.1984022088599187,0.8796371636655432
sigma_Envir01,1.165468617593404,measurement,1.2094972388434522,0.9635975843217721
sigma_Envir02,1.021835988516594,measurement,1.208914156734757,0.845251073307425
sigma_Envir05,0.9019396039050562,measurement,1.0481989495402295,0.8604660444476434
sigma_Envir06,0.7229646378799311,measurement,0.9335762683907709,0.7744034015840223
