parameter_name,estimate,block,std_error,z_value
alpha_Mobil11,0.46650827260794747,measurement,1.0,0.46650827260794747
alpha_Mobil16,-0.29500463361421264,measurement,1.0,-0.29500463361421264
alpha_Envir01,-0.4089348145048633,measurement,1.0,-0.4089348145048633
alpha_Envir02,0.2922733093178087,measurement,1.0,0.2922733093178087
alpha_Envir06,0.3883227525471552,measurement,1.0,0.3883227525471552
loading_Mobil11,1.135339799332235,measurement,1.7867551922416685,0.6354198965040276
loading_Mobil16,1.2451048852100663,measurement,1.5082381943188947,0.8255359729650285
loading_Envir01,0.8004274057947209,measurement,1.1529068528129494,0.6942689288746767
loading_Envir02,0.8555804290750005,measurement,1.307381440856301,0.6544229574764482
loading_Envir06,1.075303772520359,measurement,1.0700549119772889,1.004905225408826
sigma_Mobil10,1.0076989950918236,measurement,1.0527245871868314,0.9572294666211525
sigma_Mobil11,1.14024245465777,measurement,1.189542403497815,0.9585555347206792
sigma_Mobil16,1.0541591199320608,measurement,1.1984022088599187,0.8796371636655432
sigma_Envir01,1.165468617593404,measurement,1.2094972388434522,0.9635975843217721
sigma_Envir02,1.021835988516594,measurement,1.208914156734757,0.845251073307425
sigma_Envir05,0.9019396039050562,measurement,1.0481989495402295,0.8604660444476434
sigma_Envir06,0.7229646378799311,measurement,0.9335762683907709,0.7744034015840223
