model_key,respondent_id,block_template_id,run_repeat,indicator_name,indicator_value,is_valid_indicator,duration_sec
gemma4_31b_awq,GM0002_R1,GMT0002,1,Envir01,2,1,0.0
gemma4_31b_awq,GM0002_R1,GMT0002,1,Envir02,3,1,0.0
gemma4_31b_awq,GM0002_R1,GMT0002,1,Envir05,4,1,0.0
gemma4_31b_awq,GM0002_R1,GMT0002,1,Envir06,4,1,0.0
gemma4_31b_awq,GM0002_R1,GMT0002,1,Mobil10,3,1,0.0
gemma4_31b_awq,GM0002_R1,GMT0002,1,Mobil11,4,1,0.0
gemma4_31b_awq,GM0002_R1,GMT0002,1,Mobil16,4,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Envir01,2,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Envir02,3,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Envir05,4,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Envir06,4,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Mobil10,4,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Mobil11,4,1,0.0
gemma4_31b_awq,GM0001_R4,GMT0001,4,Mobil16,4,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Envir01,2,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Envir02,3,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Envir05,4,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Envir06,4,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Mobil10,4,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Mobil11,4,1,0.0
gemma4_31b_awq,GM0001_R1,GMT0001,1,Mobil16,4,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Envir01,2,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Envir02,3,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Envir05,3,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Envir06,4,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Mobil10,3,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Mobil11,4,1,0.0
gemma4_31b_awq,GM0003_R2,GMT0003,2,Mobil16,4,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Envir01,2,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Envir02,3,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Envir05,4,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Envir06,4,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Mobil10,3,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Mobil11,4,1,0.0
gemma4_31b_awq,GM0002_R2,GMT0002,2,Mobil16,4,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Envir01,2,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Envir02,3,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Envir05,4,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Envir06,4,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Mobil10,3,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Mobil11,4,1,0.0
gemma4_31b_awq,GM0002_R4,GMT0002,4,Mobil16,4,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Envir01,2,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Envir02,3,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Envir05,4,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Envir06,4,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Mobil10,4,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Mobil11,4,1,0.0
gemma4_31b_awq,GM0001_R2,GMT0001,2,Mobil16,4,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Envir01,2,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Envir02,3,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Envir05,4,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Envir06,4,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Mobil10,3,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Mobil11,4,1,0.0
gemma4_31b_awq,GM0002_R3,GMT0002,3,Mobil16,4,1,0.0
gemma4_31b_awq,GM0003_R1,GMT0003,1,Envir01,2,1,0.0
gemma4_31b_awq,GM0003_R1,GMT0003,1,Envir02,3,1,0.0
